unique_id,ds,y,onpromotion
44_1036689,2017-01-01,0.0,False
44_1036689,2017-01-02,134.0,False
44_1036689,2017-01-03,61.0,False
44_1036689,2017-01-04,69.0,False
44_1036689,2017-01-05,46.0,False
44_1036689,2017-01-06,62.0,False
44_1036689,2017-01-07,84.0,False
44_1036689,2017-01-08,107.0,False
44_1036689,2017-01-09,60.0,False
44_1036689,2017-01-10,50.0,False
44_1036689,2017-01-11,57.0,False
44_1036689,2017-01-12,33.0,False
44_1036689,2017-01-13,58.0,False
44_1036689,2017-01-14,80.0,False
44_1036689,2017-01-15,101.0,False
44_1036689,2017-01-16,79.0,False
44_1036689,2017-01-17,60.0,False
44_1036689,2017-01-18,46.0,False
44_1036689,2017-01-19,38.0,False
44_1036689,2017-01-20,25.0,False
44_1036689,2017-01-21,94.0,False
44_1036689,2017-01-22,105.0,False
44_1036689,2017-01-23,58.0,False
44_1036689,2017-01-24,57.0,False
44_1036689,2017-01-25,63.0,False
44_1036689,2017-01-26,57.0,False
44_1036689,2017-01-27,60.0,False
44_1036689,2017-01-28,110.0,False
44_1036689,2017-01-29,127.0,False
44_1036689,2017-01-30,70.0,False
44_1036689,2017-01-31,63.0,False
44_1036689,2017-02-01,95.0,False
44_1036689,2017-02-02,53.0,False
44_1036689,2017-02-03,73.0,False
44_1036689,2017-02-04,118.0,False
44_1036689,2017-02-05,593.0,False
44_1036689,2017-02-06,82.0,False
44_1036689,2017-02-07,74.0,True
44_1036689,2017-02-08,100.0,True
44_1036689,2017-02-09,85.0,False
44_1036689,2017-02-10,68.0,False
44_1036689,2017-02-11,127.0,False
44_1036689,2017-02-12,104.0,False
44_1036689,2017-02-13,81.0,False
44_1036689,2017-02-14,32.0,False
44_1036689,2017-02-15,57.0,False
44_1036689,2017-02-16,40.0,False
44_1036689,2017-02-17,54.0,False
44_1036689,2017-02-18,120.0,False
44_1036689,2017-02-19,63.0,False
44_1036689,2017-02-20,45.0,False
44_1036689,2017-02-21,28.0,False
44_1036689,2017-02-22,50.0,False
44_1036689,2017-02-23,42.0,False
44_1036689,2017-02-24,56.0,False
44_1036689,2017-02-25,68.0,False
44_1036689,2017-02-26,54.0,False
44_1036689,2017-02-27,76.0,False
44_1036689,2017-02-28,107.0,False
44_1036689,2017-03-01,83.0,False
44_1036689,2017-03-02,54.0,False
44_1036689,2017-03-03,52.0,False
44_1036689,2017-03-04,101.0,False
44_1036689,2017-03-05,149.0,False
44_1036689,2017-03-06,55.0,False
44_1036689,2017-03-07,46.0,False
44_1036689,2017-03-08,42.0,False
44_1036689,2017-03-09,41.0,False
44_1036689,2017-03-10,40.0,False
44_1036689,2017-03-11,72.0,False
44_1036689,2017-03-12,112.0,False
44_1036689,2017-03-13,54.0,False
44_1036689,2017-03-14,56.0,False
44_1036689,2017-03-15,53.0,False
44_1036689,2017-03-16,62.0,False
44_1036689,2017-03-17,54.0,False
44_1036689,2017-03-18,102.0,False
44_1036689,2017-03-19,126.0,False
44_1036689,2017-03-20,67.0,False
44_1036689,2017-03-21,46.0,False
44_1036689,2017-03-22,37.0,False
44_1036689,2017-03-23,44.0,False
44_1036689,2017-03-24,47.0,False
44_1036689,2017-03-25,80.0,False
44_1036689,2017-03-26,109.0,False
44_1036689,2017-03-27,76.0,False
44_1036689,2017-03-28,33.0,False
44_1036689,2017-03-29,48.0,False
44_1036689,2017-03-30,62.0,False
44_1036689,2017-03-31,70.0,False
44_1036689,2017-04-01,153.0,False
44_1036689,2017-04-02,80.0,False
44_1036689,2017-04-03,58.0,False
44_1036689,2017-04-04,32.0,False
44_1036689,2017-04-05,43.0,False
44_1036689,2017-04-06,26.0,False
44_1036689,2017-04-07,31.0,False
44_1036689,2017-04-08,77.0,False
44_1036689,2017-04-09,128.0,False
44_1036689,2017-04-10,48.0,False
44_1036689,2017-04-11,32.0,False
44_1036689,2017-04-12,52.0,True
44_1036689,2017-04-13,49.0,True
44_1036689,2017-04-14,71.0,True
44_1036689,2017-04-15,91.0,True
44_1036689,2017-04-16,142.0,True
44_1036689,2017-04-17,78.0,True
44_1036689,2017-04-18,59.0,True
44_1036689,2017-04-19,75.0,True
44_1036689,2017-04-20,59.0,True
44_1036689,2017-04-21,69.0,True
44_1036689,2017-04-22,88.0,True
44_1036689,2017-04-23,123.0,True
44_1036689,2017-04-24,68.0,True
44_1036689,2017-04-25,53.0,True
44_1036689,2017-04-26,57.0,True
44_1036689,2017-04-27,39.0,True
44_1036689,2017-04-28,77.0,True
44_1036689,2017-04-29,111.0,True
44_1036689,2017-04-30,122.0,True
44_1036689,2017-05-01,142.0,True
44_1036689,2017-05-02,72.0,True
44_1036689,2017-05-03,79.0,True
44_1036689,2017-05-04,59.0,False
44_1036689,2017-05-05,47.0,False
44_1036689,2017-05-06,116.0,False
44_1036689,2017-05-07,115.0,False
44_1036689,2017-05-08,64.0,False
44_1036689,2017-05-09,53.0,False
44_1036689,2017-05-10,62.0,False
44_1036689,2017-05-11,50.0,False
44_1036689,2017-05-12,45.0,False
44_1036689,2017-05-13,105.0,False
44_1036689,2017-05-14,76.0,False
44_1036689,2017-05-15,93.0,False
44_1036689,2017-05-16,67.0,False
44_1036689,2017-05-17,47.0,False
44_1036689,2017-05-18,52.0,False
44_1036689,2017-05-19,61.0,False
44_1036689,2017-05-20,103.0,False
44_1036689,2017-05-21,131.0,False
